ID	First name	Last Name	Email	Gender	Student type	Exam result	Homework sent	Homework evaluated	Teamwork	Attendances	Bonus
1	Sara	Mills	smills0@marketwatch.com	Female	Online	48	6	7	2.6	8	0.99
2	Daniel	Carter	dcarter1@buzzfeed.com	Male	Onsite	271	9	4	10.7	10	1.32
3	Aaron	Gibson	agibson2@house.gov	Male	Online	96	8	9	11.6	9	3.75
4	William	Alexander	walexander3@hexun.com	Male	Online	99	0	6	8.3	10	3.01
5	Mildred	Hansen	mhansen4@skype.com	Female	Online	262	2	4	6.5	0	4.78
6	Antonio	Gonzalez	agonzalez5@zdnet.com	Male	Online	148	1	8	9.6	1	2.48
7	Cheryl	Gray	cgray6@yahoo.com	Female	Online	315	10	10	2.5	6	4.66
8	Craig	King	cking7@cyberchimps.com	Male	Online	208	7	9	14.3	2	3.59
9	Craig	Ellis	cellis8@homestead.com	Male	Onsite	51	3	7	8.2	3	4.11
10	Andrea	Harper	aharper9@facebook.com	Female	Onsite	57	5	7	12.1	6	1.11
11	Steven	Cole	scolea@dagondesign.com	Male	Online	22	3	6	10.6	9	4.1
12	Richard	Edwards	redwardsb@uiuc.edu	Male	Online	299	1	6	8.8	3	2.1
13	Margaret	Peterson	mpetersonc@blogger.com	Female	Online	312	4	4	9.2	2	3.3
14	Jonathan	Gibson	jgibsond@shareasale.com	Male	Onsite	197	0	2	5.0	6	1.51
15	Jeffrey	Gibson	jgibsone@nsw.gov.au	Male	Onsite	316	0	0	7.8	6	2.68
16	Gary	Foster	gfosterf@fema.gov	Male	Online	31	5	10	10.7	10	0.21
17	Edward	Rose	eroseg@deliciousdays.com	Male	Onsite	133	8	2	4.2	8	1.97
18	Kelly	Vasquez	kvasquezh@goo.ne.jp	Female	Onsite	19	3	5	8.5	3	2.18
19	Susan	Boyd	sboydi@angelfire.com	Female	Onsite	310	2	1	14.3	6	3.36
20	Lois	Patterson	lpattersonj@mashable.com	Female	Online	358	6	3	11.3	0	3.3
21	Daniel	Ferguson	dfergusonk@istockphoto.com	Male	Online	286	10	5	3.3	2	4.89
22	Jane	Lopez	jlopezl@jiathis.com	Female	Onsite	310	5	1	10.9	3	0.86
23	Billy	Romero	bromerom@dion.ne.jp	Male	Online	10	1	9	4.9	3	4.13
24	Sean	Castillo	scastillon@dot.gov	Male	Online	231	8	7	0.1	0	0.87
25	Craig	Flores	cfloreso@tinypic.com	Male	Online	119	3	6	6.3	0	2.22
26	Justin	Watkins	jwatkinsp@goo.gl	Male	Online	14	8	2	0.9	6	0.81
27	Alice	Baker	abakerq@dell.com	Female	Onsite	73	6	3	8.1	0	2.64
28	Jesse	Howard	jhowardr@ftc.gov	Male	Online	261	10	7	4.7	6	1.78
29	Lawrence	Welch	lwelchs@dailymotion.com	Male	Online	279	8	0	7.3	4	3.02
30	Helen	Hernandez	hhernandezt@yale.edu	Female	Onsite	32	8	1	8.4	8	0.08
31	Frances	Fisher	ffisheru@mayoclinic.com	Female	Onsite	276	4	2	8.1	4	2.09
32	Lillian	Hart	lhartv@cnet.com	Female	Onsite	337	4	3	3.6	9	0.56
33	Heather	Knight	hknightw@samsung.com	Female	Online	346	3	4	5.4	4	2.0
34	Bonnie	Shaw	bshawx@ezinearticles.com	Female	Onsite	30	1	10	4.1	7	2.38
35	Anne	Freeman	afreemany@drupal.org	Female	Onsite	50	8	8	2.9	2	5.0
36	Nancy	Patterson	npattersonz@noaa.gov	Female	Onsite	38	5	9	0.6	6	1.4
37	Gerald	Diaz	gdiaz10@amazonaws.com	Male	Onsite	75	7	1	6.3	4	0.48
38	Lawrence	Hernandez	lhernandez11@ebay.com	Male	Online	290	2	3	4.4	10	1.93
39	Ashley	Lee	alee12@mayoclinic.com	Female	Onsite	43	2	0	11.3	6	3.9
40	Marie	Simpson	msimpson13@google.de	Female	Onsite	96	8	1	6.0	4	4.9
41	Victor	Harvey	vharvey14@harvard.edu	Male	Online	215	10	8	6.1	10	3.82
42	Michelle	Daniels	mdaniels15@ocn.ne.jp	Female	Online	315	4	10	9.5	2	3.81
43	Melissa	Robinson	mrobinson16@businesswire.com	Female	Onsite	233	10	9	9.4	1	3.08
44	Rebecca	Torres	rtorres17@mtv.com	Female	Onsite	239	8	9	4.6	4	0.58
45	Marilyn	Price	mprice18@fema.gov	Female	Onsite	50	6	3	1.5	9	0.27
46	Gloria	Harvey	gharvey19@statcounter.com	Female	Onsite	72	6	4	6.0	4	3.77
47	Jacqueline	Stewart	jstewart1a@wikia.com	Female	Onsite	210	1	2	10.8	4	3.85
48	Gerald	Watson	gwatson1b@typepad.com	Male	Online	315	1	6	8.3	1	4.88
49	Gloria	Schmidt	gschmidt1c@cnet.com	Female	Onsite	391	3	4	11.5	4	4.41
